x2,x5,x6,x7,x3,x8,x4,x1
0.5479213263833475,2024-09-13,Exh hu,0.8537182801931811,0.6394318900976288,b,1000.0,-10.0
0.8344587431679786,2024-09-13,k9v cF,0.4431390731149635,,b,1000.0,0.24949453070231997
0.023936746467186465,2024-09-13,6EQ uq,0.7112073641997223,0.18147623089960996,b,1000.0,0.6278500504949707
0.35382419835941303,2024-09-13,G0u H8,0.4790675735719666,0.2990692083863059,a,1000.0,0.25957092302476903
0.5833499980650495,2024-09-13,ptX u1,0.13410163494990757,0.2956284001086362,a,1000.0,0.08530180292144507
0.26110243613308637,2024-09-13,QmR 2u,0.32691825100553296,0.015825394352973476,a,1000.0,0.041118694727628524
0.8507050085493862,2024-09-13,KWs dW,0.6933783414017493,0.8982571917695178,"[""a"", ""b""]",1000.0,0.7668850702655772
0.33728020202198417,2024-09-13,7kU 04,0.755436649248716,0.6446045114501735,b,1000.0,0.4669409080656922
0.2637673931635902,2024-09-13,G40 eE,0.3684495024449018,0.9218973620180496,b,1000.0,0.5827553638855489
,,,,,,,
,,,,,,,
0.7497423253064676,2024-09-13,QF4 Ou,0.44956813610163604,0.6800688170256419,b,1000.0,0.1758323150019696
0.7497423253064676,2024-09-13,QF4 Ou,0.44956813610163604,0.6800688170256419,b,1000.0,0.1758323150019696
0.39277324578232053,2024-09-13,xXY AV,0.8513997239391178,0.8988956799717219,b,1000.0,0.4894787240690226
0.8565604589319175,2024-09-13,Q9y fL,0.47492951333862077,0.5247234271924741,b,1000.0,0.5989672608480293
0.895246552110964,2024-09-13,JuJ DV,0.5346588927718543,0.7734826663363097,a,1000.0,0.6219428678654803
0.5473890004048326,2024-09-13,nPj iN,0.9141789195792848,0.8145882946112524,"[""a"", ""b""]",1000.0,0.8740757348955839
0.9862675346254881,2024-09-13,KrL uz,0.25841233551366294,0.23917514845633803,b,1000.0,0.9790811289495316
0.9571492422147698,2024-09-13,lFY Ss,0.8999662030216663,0.4132187911739763,"[""a"", ""b""]",1000.0,0.7800263374901538
0.9749507387855864,2024-09-13,jdl 2R,0.21544510840183395,0.8604411686356989,a,1000.0,0.3765159490484422
0.016468087293807665,2024-09-13,SvD xS,0.19603799928105636,0.02479523856248378,"[""a"", ""b""]",1000.0,0.02311630454176461
0.8680215782287974,2024-09-13,2Ef Oe,0.10485466353682171,0.8183761183371486,"[""a"", ""b""]",1000.0,0.11463721210635658
0.7618640524499943,2024-09-13,Apj la,0.07084894690014065,0.8839770528600067,b,1000.0,0.04739704136019107
0.46640826418161874,2024-09-13,C1t qW,0.011861999767935671,0.3540734816683221,b,1000.0,0.7359417321285341
0.40340780758545614,2024-09-13,hkC zE,0.3789297689997019,0.3075096863646106,b,1000.0,0.31504746379919346
0.04956227712249339,2024-09-13,HL0 Ud,0.9864221417879199,0.2129167216539677,a,1000.0,0.6302666434420049
0.44112613074395135,2024-09-13,2wM YM,0.41720989942643005,0.34228484950130156,"[""a"", ""b""]",1000.0,0.9386053242472532
0.31313770811120845,2024-09-13,RZs 4j,0.5386406316581295,0.14793498360458635,"[""a"", ""b""]",1000.0,0.257949215572835
0.4198493992144382,2024-09-13,Q55 k0,0.4373261859014368,0.6660665917974192,b,1000.0,0.03784793186907176
0.041578290272369034,2024-09-13,8bV 0i,0.07400783296083513,0.22652741611347038,b,1000.0,0.5025931545597822
0.6869121766128725,2024-09-13,6PB yC,0.8812814582983093,0.5192539352859142,b,1000.0,0.6811075376138339
0.9855074756578285,2024-09-13,sLy LC,0.3768423136998613,0.991876574605759,b,1000.0,0.05801459374882878
0.5635256631280754,2024-09-13,a7d zM,0.7238580496397219,0.007550659950838257,a,1000.0,0.9749500091504604
0.3716336403114042,2024-09-13,rKF Qq,0.8241325454640951,0.5642573612476515,a,1000.0,0.1664017270082253
0.29444405476417057,2024-09-13,Iw2 Dt,0.7506592809416195,0.3901117620713026,"[""a"", ""b""]",1000.0,0.06670820593490523
0.8100535208829531,2024-09-13,pnY s8,0.9737617707002454,0.6862002862462834,b,1000.0,0.4043010398512955
0.19729476823222825,2024-09-13,raN PM,0.15241065610000304,0.7733995477407262,"[""a"", ""b""]",1000.0,0.6060378746324341
0.9804531847375176,2024-09-13,IAe Cc,0.5921342033963823,0.10221434213662195,a,1000.0,0.42643437651254723
0.33736302068618784,2024-09-13,qut rC,0.3742557797643252,0.8952601537616842,"[""a"", ""b""]",1000.0,0.7249570154216086
0.7319637040373089,2024-09-13,Kol hu,0.3090677496066213,0.154730896505605,a,1000.0,0.23382836132194718
0.0645237244917124,2024-09-13,5GS Yp,0.3914494829101194,0.9946525640777233,b,1000.0,0.7803047143665922
0.7392670309346224,2024-09-13,3Gz cU,0.21289711310567772,0.7528857173736453,"[""a"", ""b""]",1000.0,0.7975914851902002
0.8179946576104379,2024-09-13,zv9 iT,0.8453354695572326,0.04697173212404093,"[""a"", ""b""]",1000.0,0.0887179278037119
0.5400068574205544,2024-09-13,Enn j7,0.4713442714755438,0.37755551354562644,b,1000.0,0.9664740905561806
0.2700811555374736,2024-09-13,YGp 5A,0.8680436895406577,0.2780922550445991,a,1000.0,0.6722605549420926
0.2894759735683683,2024-09-13,B3u rH,0.8084280051368823,0.8483727898930812,b,1000.0,0.7424077686006162
0.7730810085367649,2024-09-13,JrF ht,0.9029080762156655,0.6504067204600171,a,1000.0,0.9189023574775059
0.9473809353248848,2024-09-13,idL PF,0.9392101063747533,0.686526016613624,a,1000.0,0.9462046545860251
0.9320330493765658,2024-09-13,zUR oh,0.9668600603246076,0.5699988661312767,b,1000.0,0.3168981299283168
0.16347308654577686,2024-09-13,sa8 fY,0.5410623395603944,0.08335243415458216,a,1000.0,0.33371228060070557
0.5820553419634006,2024-09-13,qaS mu,0.2829648752352738,0.5178282019697048,b,1000.0,0.44490189786531287
0.1960835581868383,2024-09-13,dZm Jm,0.7044823154273907,0.681120554972713,a,1000.0,0.6196704163378084
0.2577327375119711,2024-09-13,Cvt K7,0.7124211141865038,0.5183175492128014,b,1000.0,0.5319656024245328
0.6895462177629621,2024-09-13,2OX Mr,0.7965270973194437,0.44591811252948277,a,1000.0,0.3554504196253909
0.7325914417348213,2024-09-13,rN8 JG,0.2061328633536167,0.7215604337326156,"[""a"", ""b""]",1000.0,0.17074960727209476
0.4556188135881364,2024-09-13,gXo 7S,0.07912378172555734,0.8236363566829635,"[""a"", ""b""]",1000.0,0.5805370522812929
0.7103335146482085,2024-09-13,XIc UH,0.5512691278064145,0.8163776455927355,"[""a"", ""b""]",1000.0,0.68205812483633
0.6245045132402012,2024-09-13,0eT vf,0.07919186383477594,0.8522783157824224,b,1000.0,0.33594741055569977
0.4923859414245997,2024-09-13,mha yR,0.2573131521019073,0.8054137828051185,b,1000.0,0.7200965308076109
0.6431676794786693,2024-09-13,A6g RP,0.2470344596126104,0.5136487019141536,"[""a"", ""b""]",1000.0,0.1775326668860553
0.5008384777624704,2024-09-13,yDx Pv,0.1541275381170374,0.33406620896790573,a,1000.0,0.8455712130895441
0.179243115135024,2024-09-13,2xd nA,0.42625537985304884,0.5418304806757823,b,1000.0,0.2963774657310875
0.25385051090626465,2024-09-13,PTy lF,0.11631255010498431,0.6703876382406346,b,1000.0,0.41888433895253985
0.4210476903598027,2024-09-13,ECp Oo,0.7115525905973374,0.029430407190842556,"[""a"", ""b""]",1000.0,0.9023721240925127
0.8638799945956859,2024-09-13,i1M 0C,0.028484121810885554,0.5801952378845946,a,1000.0,0.6359726266040502
0.784867862092088,2024-09-13,xnE 01,0.8775648169619087,0.5074709895174713,b,1000.0,0.12811402545643602
0.604684747827687,2024-09-13,4g5 3V,0.864891790681664,0.6336406671320627,"[""a"", ""b""]",1000.0,0.9164411143249898
0.05473986683070853,2024-09-13,Cro Ph,0.9825377565044159,0.5216766267769735,"[""a"", ""b""]",1000.0,0.9822250714246387
0.9059448247182033,2024-09-13,n6f e7,0.7871551442800279,0.9630249838461307,b,1000.0,0.32818664736834546
0.6931792035170649,2024-09-13,mM5 EA,0.8735558929915266,0.6473968118752595,"[""a"", ""b""]",1000.0,0.5167832331863302
0.5372532264852194,2024-09-13,6Sj My,0.29841385741224613,0.9263216865242687,"[""a"", ""b""]",1000.0,0.7932187459685142
0.16536825117097598,2024-09-13,nls eb,0.7594487878011328,0.07093984756901806,"[""a"", ""b""]",1000.0,0.4082209146506375
0.20018150510625765,2024-09-13,F9e O0,0.10921171327017853,0.021362082750290612,b,1000.0,0.3181856901104465
0.8927058512220801,2024-09-13,0no 2O,0.7495538742121595,0.7268640033037922,a,1000.0,0.5931064596055379
0.4723001902806484,2024-09-13,Dq7 iA,0.073110992612886,0.7080404384353961,a,1000.0,0.3049615047518597
0.24403094567916583,2024-09-13,tq0 Um,0.9365813284714822,0.5394392867706344,a,1000.0,0.31558954961738206
0.8884724835154579,2024-09-13,K5S jC,0.24455310401491248,0.0585276577251852,a,1000.0,0.7319141240936426
0.792808624581228,2024-09-13,lXI eG,0.8680949737310244,0.25136064235619526,b,1000.0,0.22230709167732166
